bucket,applicants,defaults,avg_pd,cumulative_defaults,gain,lift
1,20,17,0.6829411644848097,17,0.2833333333333333,2.276470548282699
2,20,13,0.5446090700809157,30,0.5,1.815363566936386
3,20,6,0.47408466973754315,36,0.6,1.5802822324584773
4,20,6,0.41555697387728585,42,0.7,1.3851899129242862
5,20,6,0.3684613295014004,48,0.8,1.2282044316713348
6,20,4,0.32227371155458306,52,0.8666666666666667,1.0742457051819436
7,20,4,0.2681490248911772,56,0.9333333333333333,0.8938300829705907
8,20,1,0.20733287326165825,57,0.95,0.6911095775388608
9,20,2,0.15617557523880538,59,0.9833333333333333,0.5205852507960179
10,20,1,0.09181802089015015,60,1.0,0.30606006963383386
